AreaName,WVitemID,TextTypeID,TextType,SortOrder,Text
Costa Brava,195366,16,Area description,0,"Den smukke kyststrækning Costa Brava, som strækker sig nord for Barcelona, er fuld af kontraster. Lange, velbesøgte strande og nybyggede hoteller blandes med maleriske fiskerbyer og storslået natur. Badebyerne ligger som perler på en snor langs kysten - fra Barcelona i syd til den franske grænse i nord. Med Spies kan du rejse til Costa Bravas mest populære feriebyer: <a href=""{res:98232}"">Lloret de Mar</a>, <a href=""{res:98231}"">Calella</a> og <a href=""{res:98235}"">Santa Susanna</a>."
Costa Brava,195366,13,Text part,10,"Costa Brava er nok mest kendt for sine kilometerlange, gyldne strande, lækre mad og smukke natur. De fleste byer langs kysten var oprindelig små fiskerlejer, men de har i årenes løb udviklet sig til moderne badebyer og byder nu på masser af aktiviteter, restauranter og forlystelsesliv. På Costa Brava finder du bl.a. en af Europas største forlystelsesparker, Marineland Cataluña, samt det store golfanlæg PGA Catalunya Resort. Og for dig, der kan lide lækker mad og gode vine, er Costa Brava også lige sagen - overalt bydes der på veltillavet middelhavsmad, som med fordel kan nydes sammen med en af de lokalt fremstillede vine."
Costa del Sol,108053,16,Area description,0,"Costa del Sol er en cirka 200 km lang kyststrækning i regionen Andalusien. Her har nordboere søgt tilflugt fra vinterens kulde og mørke i snart 40 år - ikke mindst i Marbella, som er blevet et af kystens mest trendy rejsemål. Costa del Sol er især populær blandt golfspillere - her kan du spille på en ny bane alle ugens dage. Men området byder også på masser af kultur, historie og spændende seværdigheder; der er f.eks. kun et par timer til Granada. Og vil du indsnuse lidt autentisk spansk stemning, kan du tage op til en af de små landsbyer i bjergene."
Costa del Sol,108053,16,Area description,10,"Du kan tage på golfrejse til Costa del Sol og rejsemålene Marbella og Benalmadena hele året. Spies tilbyder fleksible rejselængder og golfpakker med garanterede starttider på Atalaya, som er en af de mest populære baner på Costa del Sol. Vi tilbyder også golfpakker og garanterede starttider i golfanlægget La Cala."
Costa Dorada,121478,16,Area description,0,"Sydvest for Barcelona løber de lavvandede og gyldne sandsstrande, som har givet ophav til navnet Costa Dorada - Guldkysten.<br><br>Spies tilbyder rejser med valgfri rejselængde til de to mest populære badebyer: livlige Sitges og mere rolige, børnevenlige Salou."
Den Franske Riviera,108065,16,Area description,0,"Den Franske Riviera er altid et besøg værd, men de bedste tidspunkter er forår og forsommer, hvor alting blomstrer. Vælg det rejsemål, der passer dig bedst, og tag på udflugt til de andre - her er det nemt at komme rundt. Spies tilbyder rejser med rutefly, så du bestemmer selv, hvor længe du vil være væk, og du kan vælge imellem fire rejsemål: Cannes, Nice, Antibes og Juan les Pins."
Det østlige USA,108059,16,Area description,0,På østkysten tilbyder vi New York og Washington.
Dubai,109605,16,Area description,0,"Velkommen til sol, varme og salte dyp - året rundt. I Dubai får du solrig luksus i eksotiske omgivelser.<br><br>I Dubai får du en skøn ferie med næsten garanteret solskin. Når du rejser med Spies, kan du vælge imellem fem rejsemål: <a href=""{res:72973}"">Bur Dubai</a>, <a href=""{res:72975}"">Deira</a>, <a href=""{res:72974}"">Downtown Dubai</a>, <a href=""{res:14956}"">Jumeirah Beach</a> og <a href=""{res:72976}"">Jebel Ali</a>. Er det strandliv, du søger, er det nemmest at tage til de offentlige strande langs Jumeirah Beach, hvor du kan vælge at bo i femstjernet luksus. Vil du bo lige så godt, men blot lidt billigere, skal du vælge et hotel i Downtown Dubai, hvor du også finder verdens højeste bygning, Burj Kalifa, samt verdens største shoppingcenter. Midt i alt det hypermoderne finder du desuden steder, som fører tankerne hen på Tusind og én nat, ikke mindst hvis du tager med på ørkensafari."
Dubai,109605,13,Text part,10,"<b>En weekend eller en uge?</b><br>Spies tilbyder rejser med fleksibel rejselænge til Dubai både sommer og vinter, og eftersom flyvetiden kun er på godt seks timer, kan du sagtens tage hertil for både lidt sol, shopping og natteliv i en forlænget weekend. Vælger du at være her i en uge, kan du nå at opleve lidt mere."
Dubrovnik-området,186731,16,Area description,0,"Dubrovnik har en lang historie, hvilket ikke mindst den enorme ringmur, der omkranser den gamle bydel, vidner om. Men byen hernede i det sydligste Kroatien byder ikke blot på historie, men også på god mad, smuk natur og dejlige strande. Spies tilbyder rejser med rutefly og fleksibel rejselængde til både <a href=""{res:65419}"">Dubrovnik</a> og <a href=""{res:81569}"">Cavtat</a>, en lille by ved havet ikke langt fra Dubrovnik."
Florida,108063,16,Area description,0,"Florida har virkelig noget for enhver smag. <a href=""{res:14947}"">Miami Beach</a>, art deco, South Beach, golfbaner, et pulserende forlystelsesliv, Ocean Drive, Everglades, Disney World ... Og at Florida kaldes The Sunshine State er ikke så sært. Klimaet er uovertruffent og strandene kilometerlange, kridhvide og kantet af palmer. <br><br>Spies var blandt de første til at tilbyde rejser til Florida, og vi ved, hvordan du får mest ud af dit ophold her. Vi tilbyder mange kombinationsmuligheder og hoteller med den bedste beliggenhed. Du flyver til Florida med rutefly og vælger selv, hvornår du vil rejse, og hvor længe du vil være væk. Lad dig inspirere af alle de muligheder, vi har at tilbyde i Florida."
Fuerteventura,108066,16,Area description,0,"Skønt Fuerteventura er den næststørste af De Kanariske Øer, fremstår den mere uspoleret end sine naboøer. Der kommer færre turister hertil, der bygges færre hoteller, og trafikken er roligere."
Fuerteventura,108066,13,Text part,10,"På Fuerteventura finder du nogle af Europas absolut bedste strande, som strækker sig brede og gyldne stort set hele vejen rundt om øen. Det er ganske let at finde sin egen strand, og trængsel er der aldrig. Rejser du med Spies, kan du vælge mellem nogle af Fuerteventuras allerbedste hoteller, f.eks. <a href=""{hot:56642}"">Barcelo Corralejo Bay</a> i <a href=""{res:4806}"">Corralejo</a>, som har fået høje ratings af vores gæster. Rejser du med børn, er <a href=""{hot:75407}"">Fuerteventura Princess</a> det rigtige valg. Det ligger ved havet et stykke uden for Jandia og er et af vores børnevenlige Family Garden-hoteller med børneklub og børnepool - og det bedste af det hele er måske, at All Inclusive indgår i prisen."
Goa,109233,16,Area description,0,"Goa er Indiens mindste delstat og byder på både portugisisk kolonihistorie, betagende smuk natur og lange, fredfyldte strande. Spies tilbyder tre forskellige rejsemål og fleksible rejser med valgfri rejselængde."
Goa,109233,13,Text part,10,"Goa rummer mange facetter - fra rygtet som hippiernes paradis i 60'erne over de næsten endeløse strande til delstatens prægtige, kristne kirker. Derudover er der hovedstaden Panajis livlige gadeliv, det varierede køkken med islæt fra hele Asien og de spændende udflugter til gamle ruinbyer og langsomme floder. I Goa får du meget Indien på et lille areal."
Gran Canaria,108069,16,Area description,0,"Rejs med Spies til solrige Gran Canaria og få et kæmpe udvalg af feriemål og hoteller for både børnefamilien og voksne par. Rejser du hertil uden børn, er vores <a href=""{hot:8826}"">Sunprime Atlantic View</a> et godt valg, og har du børnene med, anbefaler vi <a href=""{hot:8782}"">Sunwing Arguineguín Seafront</a> eller nye <a href=""{hot:90078}"">Ocean Beach Club</a> i Playa del Cura. Vi har også flere Family Garden-hoteller til den børnevenlige familieferie. Hvad rejsemål angår, tilbyder vi alt fra skønt storbyliv i <a href=""{res:8795}"">Las Palmas</a> over forlystelsesmetropolen <a href=""{res:8822}"">Playa del Inglés</a> til rolige perler som <a href=""{res:8851}"">Puerto de Mogán</a> på den solsikre sydkyst.<br><br>Nu kan du også bestille rejser med valgfri afrejsedag og rejselængde til flere af vores rejsemål på Gran Canaria. Når du bestiller, vælger du blot det ønskede antal dage under ""Rejselængde""."
Gran Canaria,108069,16,Area description,10,"Golfpakker, flere nye baner, golfværter og et fantastisk ophold på Sunprime Hotels. Tilføj Spies' populære konkurrenceuge Gran Canaria Open, som finder sted hvert år i december, og du vil forstå, hvorfor Gran Canaria er det perfekte udgangspunkt for din golfrejse. Klimaet er behageligt hele året rundt, og her er en utrolig bred vifte af golfbaner at vælge imellem. Fra Seaside- og Mountainbaner til golde Arizonabaner med barske udfordringer. Udover vores to Sunprime-hoteller, kan du også vælge at bo på luksuriøse Sheraton Salobre Golf Resort & Spa. Her tilbyder vi en pakke med lige så meget golf, du har lyst til i seks dage på golfbanen Salobre, som ligger lige ved siden af hotellet."
Hawaii,108071,16,Area description,0,"Hawaii er selve definitionen på en drømmeferie. Intet andet sted vajer palmerne så forførende og ingen andre steder vajer de over lige så paradisiske strande. Med Spies rejser du til Maui eller Honolulu, som er to af Hawaiis mest populære rejsemål. Naturligvis kommer du til at bo på et virkelig godt hotel, på eller nær ved stranden. Udover alle de vidunderlige strande får du på Maui og Honolulu en fantastisk natur, restauranter i verdensklasse og en bred vifte af aktiviteter, attraktioner og underholdning. En tur til Hawaii kommer med garanti til at blive et minde for livet."
Hvar,186730,16,Area description,0,"Hvar ligger lige ud for den kroatiske kyst godt en halv times sejlads fra Split. En ferie på Hvar er ensbetydende med udflugter til små byer, lange middage i skumringen, svømmeture i krystalklart vand, markedsbesøg og måske en lille afstikker til en vingård. Spies tilbyder to rejsemål: charmerende og sofistikerede <a href=""{res:81567}"">Hvar by</a> samt den lille by <a href=""{res:96142}"">Jelsa</a>, som har en hyggelig lille havn med lokalt folkeliv."
Ibiza,108072,16,Area description,0,"Velkommen til Ibiza - en ø, der byder på både familiehoteller, børnevenlige strande, charmende landsbyer og betagende natur. Her er også et trendy natteliv og glimrende shoppingmuligheder. Spies tilbyder fire forskellige rejsemål, der hver har sit eget særpræg, lige fra livlige <a href=""{res:97544}"">Ibiza by</a> til forlystelseslivet i <a href=""{res:97580}"">San Antonio</a>. Har du svært ved at vælge, kan du altid kombinere flere rejsemål."
Ibiza,108072,13,Text part,10,"Ibiza ligger sydvest for Mallorca og er en lille ø, der rummer meget: skønne strande, naturoplevelser, historie, shoppingmuligheder, trendy natklubber og ikke mindst familiehoteller ved nogle af øens bedste strande. Spies tilbyder rejsemålene Ibiza by, <a href=""{res:97552}"">Playa d'en Bossa</a>, <a href=""{res:97609}"">Santa Eulalia</a> og partybyen San Antonio."
Istrien,123597,16,Area description,0,"Når man kommer til Istrien, bliver man først og fremmest slået af den betagende og uberørte natur. Her er der grønne enge, bakkedale, farvestrålende vilde blomster og velbevarede historiske fund så langt øjet rækker. Spies tilbyder fire forskellige rejsemål - <a href=""{res:76070}"">Opatija</a>, <a href=""{res:76101}"">Porec</a>, <a href=""{res:76106}"">Rovinj</a> og <a href=""{res:76082}"">Vrsar</a> - som hver især har deres eget særpræg, men som også har meget til fælles: fortidslevn, krystalklart vand og glimrende restauranter."
Istanbul,123536,16,Area description,0,"Rejser du til Istanbul med Spies, kan du vælge blandt hoteller i såvel byens gamle kvarterer som i de nyere områder med trendy butikker og restauranter.<br />Istanbuls hemmelighed er dens tilgængelighed. Afstandene er korte, priserne lave, og overalt bliver man mødt med lige dele høflighed, venlighed og nysgerrighed. Orienten møder Europa i en by, hvor alle føler sig hjemme, uanset om man vil lytte til tyrkisk popmusik på en café eller nyde synet af de smukke håndlavede keramiske fliser i Den Blå Moske. Istanbuls seværdigheder er verdensberømte: udover Den Blå Moske er Hagia Sophia og Topkapi-paladset storslåede eksempler på en rig historisk arv. Krydderisælgere, barberer og skopudsere fylder gaderne, og der er masser at kigge på, hvis du vælger at opleve byen til fods i stedet for at tage sporvognen. Istanbul er ingen stor by, og du kan gå rundt til de fleste seværdigheder."
Kalymnos,108078,16,Area description,0,"Kalymnos er en af Grækenlands billigste øer, hvor dagene forløber stille og roligt. Rejser du med Spies, har du flere gode hoteller at vælge imellem."
Kalymnos,108078,13,Text part,10,"<b>Kalymnos med Spies</b><br>Kalymnos er berømt for sit fiskeri efter natursvampe, der er en tradition, som strækker sig mange år tilbage i tiden og endnu i dag beskæftiger en håndfuld øboere. Det er primært den afslappede atmosfære og de gode strande, der lokker feriegæster til Kalymnos, men de stejle klippevægge gør også øen populær blandt bjergbestigere, der tager hertil for at kombinere spændende udfordringer med stilfærdigt græsk hverdagsliv. Spies tilbyder tre forskellige rejsemål, og vi anbefaler, at du lejer en bil, så du kan udforske øen i dit eget tempo."
Koh Lanta,121774,16,Area description,10,"Syd for Krabi-provinsen venter Koh Lanta - en smuk lille ø, som indbyder til en ferie i lavt gear og med kilometervis af sandstrand inden for rækkevidde."
Koh Phi Phi,121312,16,Area description,10,"På romantiske Koh Phi Phi er du omgivet af kridhvide sandstrande, der indbyder til farverig snorkling, afslapning eller gåture i solnedgangens skær."
Korfu,108080,16,Area description,0,"Korfu er et godt valg for dig, der vil have en sol- og badeferie af høj klasse. Ud over fine strande byder øen på seværdigheder, smuk natur og uopdagede små byer. Med Spies rejser du til Korfu med rutefly og bestemmer selv afrejsedag og rejselængde, og du har fem forskellige rejsemål at vælge imellem: Agios Gordis, Dassia, Ermones, Gouvia og Korfu by."
Kos,108081,16,Area description,0,"Populære Kos er en bekvemt lille ø, der kun er 54 km lang og 11 km bred. Her har 40 år under italiensk styre bl.a. udmøntet sig i smukke parker, blomsterbeplantninger og gader kantet af træer. Der er mange fine strande rundt om hele øen, og mange af dem er lavvandede med sandbund. Fra Kos kan du også nemt komme til omkringliggende øer som Kalymnos og Telendos.<br><br>Nu kan du også rejse med rutefly til Kos med Spies. Det betyder, at du selv bestemmer både afrejsedag, og hvor længe du vil være væk, uden at være bundet af faste rejsedatoer. Når du bestiller, vælger du blot det ønskede antal dage under ""Rejselængde""."
Krabi,108082,16,Area description,0,"Spies tilbyder det meste og det bedste af Krabi med flere forskellige rejsemål og hoteller for enhver smag, bl.a. <a href=""{hot:63501}"">Beyond Resort Krabi</a>, som ligger direkte på stranden i Klong Muang."
Krabi,108082,13,Text part,10,"Spies tilbyder de mest populære rejsemål langs kysten, bl.a. <a href=""{res:4743}"">Ao Nang</a> samt øerne <a href=""{res:4754}"">Koh Lanta</a>, <a href=""{res:14977}"">Phi Phi Island</a>, <a href=""{res:89118}"">Koh Mook</a> og <a href=""{res:82324}"">Koh Ngai</a>. Med Spies kan du vælge enten en bekvem charterferie med faste rejsedatoer eller en ferie med rutefly skræddersyet efter dine behov."
Kreta,108055,16,Area description,0,"Kreta har i mange år været et af Spies-gæsternes yndlingsrejsemål. Ikke mindst på grund af vores familieparadis Sunwing Makrigialos Beach med den enestående udsigt over Middelhavet. Men vi har selvfølgelig også hoteller for dig, der rejser uden børn, f.eks. vores skræddersyede <a href=""{hot:40467}"">Sunprime Platanias Beach</a> i populære <a href=""{res:6769}"">Platanias</a> på Chaniakysten. Hotellet har alle tænkelige bekvemmeligheder og ligger, ligesom Sunwing Makrigialos Beach, direkte ud til stranden. Rejser du med familien, kan du også bo på vores flotte Family Garden-hotel <a href=""{hot:37887}"">Avra Imperial Beach Resort & Spa</a> i <a href=""{res:6766}"">Kolimbari</a>.<br><br>Nu kan du også rejse med rutefly til de fleste af vores rejsemål på Kreta. Det betyder, at du selv bestemmer både afrejsedag, og hvor længe du vil være væk, uden at være bundet af faste rejsedatoer. Når du bestiller, vælger du blot det ønskede antal dage under ""Rejselængde""."
Kreta,108055,13,Text part,10,"Kreta begejstrer og fascinerer til stadighed sine gæster. Her får du den perfekte kombination af ø-hygge, ferieliv og historiske omgivelser. Den svale vind fra nord opfrisker selv de varmeste sommerdage, og strandene skuffer aldrig. Det er oplagt at leje bil på Kreta, så du har mulighed for at tage på opdagelse på egen hånd. Når du rejser med Spies, har du altid mulighed for at leje bil til en konkurrencedygtig pris. Hvorfor ikke lade sommerferien gå til Kreta?"
Kreta,108055,16,Area description,20,"Den klassiske ferieø Kreta byder også på golf. Med Spies kan du bo tæt på Grækenlands første mesterskabsbane - Crete Golf Club. Kreta er Grækenlands største og sydligste ø. Beliggenheden mellem Afrika og Europa gør, at klimaet er næsten perfekt - især for en golfferie. Sommersæsonen strækker sig helt fra april til november, og resten af året ligger temperaturen på omkring de 20 grader."
Kreta,108055,48,Airport help,30,"Spies flyver til to lufthavne på Kreta. Vil du bo på Chaniakysten, flyver du til Chanias lufthavn. Hvis du vil bo i Agios Nikolaos, Hersonissos, Ierapetra eller Makrigialos, flyver du til Heraklions lufthavn. Vil du bo i Rethymnon, flyver du også til Heraklions lufthavn, og nogle gange er det også muligt at flyve til Chanias lufthavn."
Krydstogter fra Dubai,189622,16,Area description,0,"Kunne du tænke dig en komfortabel ferie til søs kombineret med anderledes oplevelser? Så vælg vores krydstogt i Den Persiske Golf og oplev omgivelser, der kunne være taget ud af ""Tusind og én nat"". På krydstogtet kommer du til Dubai, Abu Dhabi, Muscat og Khasab - det ene rejsemål mere spektakulært end det andet. Sultandømmet Omans hovedstad Muscat byder på et stort udbud af seværdigheder, strande og markeder, og Dubai er en herlig blanding af tradition og overdådig luksus. Her finder du både en indendørs skibakke, verdens højeste bygning, Burj Khalifa, traditionelle souker, fantastiske hoteller og meget, meget andet."
Krydstogter fra Dubai,189622,13,Text part,10,"I vores bekvemme pakkeløsninger indgår foruden selve krydstogtet både fly og hotelovernatning i afrejsebyen. Krydstogtet foregår med<br>Royal Caribbean Internationals store og familievenlige skibe, Celebrity Cruises elegante fartøjer velegnede til voksne eller Costa Cruises familieegnede og budgetvenlige skbe, der tilbyder god mad og aktiviteter ombord. Vælger du et krydstogt med Royal Caribbean International eller Celebrity Cruises, indgår drikkepenge på ca. 12 USD pr. dag i prisen. Vælger du et krydstogt med Costa Cruises, skal obligatoriske drikkepenge på ca. 9 USD pr. voksen pr. dag og ca. 4,50 USD pr. barn pr. dag betales ombord."
Krydstogter i Caribien,141220,16,Area description,0,"Et krydstogt i Caribien er den perfekte måde at rejse på, hvis du ønsker at opleve så meget som muligt i ferien. Caribien er præcis lige så eksotisk, som du forestiller dig: Her mødes du af vajende palmer, iørefaldende rytmer, turkisblåt hav, flot natur, smilende mennesker, spændende rejsemål, sol og lange strande. Du har med andre ord alle muligheder for at få en ferie med både afslapning og eventyr."
Krydstogter i Caribien,141220,13,Text part,10,"Hvis du vælger et krydstogt til Caribien, har du flere spændende ruter og forskellige rejselængder at vælge imellem. I vores bekvemme krydstogtspakker indgår foruden selve krydstogtet både fly og hotelovernatning i afrejsebyen før krydstogtet. I Caribien har rederiet Royal Caribbean International et bredt udbud af ruter, og der sejles med nogle af verdens største krydstogtskibe - Oasis of the Seas, Allure of the Seas og det nybyggede Quantum of the Seas. Også Celebrity Cruises tilbyder et stort udvalg af krydstogter i området med besøg på spændende øer som Jamaica, Puerto Rico, St. Martin/St. Maarten og Bahamas. Fra vinteren 2015/16 kan du desuden komme på krydstogt med familievenlige Costa Cruises i Caribien. Med Costa Cruises kan du bl.a. komme til Mexico, Den Dominikanske Republik og Caymanøerne.<br><br>Vælger du et krydstogt med Royal Caribbean International eller Celebrity Cruises, indgår drikkepenge på ca. 12 USD/dag i prisen. Vælger du et krydstogt med Costa Cruises, skal obligatoriske drikkepenge på ca. 9 USD pr. voksen/dag og ca. 4,50 USD pr. barn/dag betales ombord."
Krydstogter i Det Indiske Ocean,193413,16,Area description,0,"Et krydstogt i Det Indiske Ocean er det perfekte valg for dig, der drømmer om kridhvide sandstrande, vajende palmer, storslået natur, spændende udflugter og eksotiske rejsemål. På Costa Cruises skib får du en bekvem ferie med gode restauranter, spaafdeling, motionsrum og meget andet. Skibet sejler til nogle af Det Indiske Oceans mest fantastiske øer."
Krydstogter i Det Indiske Ocean,193413,13,Text part,10,"Mauritius byder på skønne strande, fin natur og restauranter med mad i verdensklasse. På Seychellerne lægger skibet til på hovedøen Mahe, hvor to overnatninger indgår i rejsens pris. Det giver dig tid til at opleve både Mahe og en af naboøerne Praslin eller La Digue. <br>Madagaskar er verdens fjerdestørste ø og byder på et rigt plante- og dyreliv. Her findes alt fra store naturreservater og seværdigheder til imponerende sandstensformationer og gyldne strande. På vores krydstogt i Det Indiske Ocean besøger vi også den grønne perle La Reunion, som er fransk territorium. I hovedstaden St. Denis bliver du mødt af en herlig blanding af forskellige kulturer. Øen er både frodig og kuperet - besøg gerne udsigtspunktet Maido, hvorfra der er en blændende udsigt over kraterdalen Cirques de Mafate.<br><br>I vores bekvemme pakkeløsninger indgår foruden selve krydstogtet både fly og hotelovernatning i afrejsebyen. Vælger du et krydstogt med Royal Caribbean International eller Celebrity Cruises, indgår drikkepenge på ca. 12 USD/dag i prisen. Vælger du et krydstogt med Costa Cruises, skal obligatoriske drikkepenge på ca. 9 USD/voksen/dag og ca. 4,50 USD/barn/dag betales ombord."
Krydstogter i Middelhavet,138096,16,Area description,0,"Krydstogter i Middelhavet er utrolig populære - og det er let at forstå hvorfor. Området byder på betagende natur, berømte byer, historiske seværdigheder og kulinariske oplevelser. Og der er også gode muligheder for at bade og slikke sol. Middelhavsområdet har en rig historie og interessant kulturarv, så vi anbefaler, at du benytter muligheden for at tage på spændende udflugter i løbet af dit krydstogt."
